questions,answers
when does school start in los angeles california 2011?,August
what did samuel de champlain?,"Soldier, Sailor, Navigator"
what was william faulkner known for?,"Background to Danger, Flesh, The Big Sleep, The Long, Hot Summer, To Have and Have Not, Land of the Pharaohs, Mildred Pierce, Submarine Patrol, Gunga Din, Drums Along the Mohawk"
what language did the miwok indians speak?,Utian languages
who was audrey hepburn's husbands?,"Robert Wolders, Andrea Dotti, Mel Ferrer"
what do you want from me jerrod niemann lyrics meaning?,"Universal Music Group Nashville, Arista Nashville, Category 5 Records"
what did robert koch do?,Physician
who does cristiano ronaldo play for?,Real Madrid C.F.
what currency is best to take to dominican republic?,Dominican peso
who is lleyton hewitt?,Tennis player
what movies did quentin tarantino star in?,"Grindhouse, The Cutting Edge: The Magic of Movie Editing, Sukiyaki Western Django, Full Tilt Boogie, Z Channel: A Magnificent Obsession, BaadAsssss Cinema, Desperado, Four Rooms, From Dusk till Dawn, Dead On: The Life and Cinema of George A. Romero"
what language does the new zealand speak?,"Esperanto Language, English Language, Māori language, Samoan Language, Tongan Language, Standard Mandarin, Fijian Language"
what kind of drugs does charlie sheen do?,Cocaine
who is clint eastwood dating?,Dina Eastwood
what county is sacramento located in?,Sacramento County
what did audrey hepburn died of?,Appendix cancer
what is st mary mascot?,Griffin
who was irving berlin and what did he do?,"Songwriter, Lyricist, Composer"
who shot j lennon?,Mark David Chapman
what happened during william henry harrison presidency?,Battle of Tippecanoe
where did sir ernest shackleton live?,County Kildare
what type of music is scott joplin?,"Piano, Jazz piano"
where did the welsh language originate from?,Celts
who does leia think her father is?,Bail Organa
who did alf's voice?,Paul Fusco
what was theodore roosevelt's political party?,"Republican Party, Progressive Party"
what year were the cincinnati reds founded?,1881
where is kia cars made?,Seoul
what magazine did edgar allan poe work for?,"The Stylus, Graham's Magazine, Broadway Journal, Burton's Magazine"
where are sunbeam appliances made?,"Canada, United States of America"
where did chickasaw indians live?,Indigenous peoples of the Southeastern Woodlands
what music did antonio vivaldi compose?,"Baroque music, Classical music"
who plays batman in 2012?,Christian Bale
what is the timezone in vancouver?,Pacific Time Zone
what time is world cup soccer?,Every 4 Years
what did ronnie radke do?,"guitar, Lead vocalist, keyboard"
where does selena gomez live right now 2010?,New York City
who is the member of rajya sabha?,"Ch. Munawwar Hasan, Anil Ambani, Jaya Bhaduri Bachchan"
what form of government does czech republic have?,Parliamentary republic
what movies has renee zellweger been in?,Bridget Jones's Diary
what other writers influenced charles dickens?,"Tobias Smollett, Washington Irving, Miguel de Cervantes, William Wordsworth, Honoré de Balzac, Henry Fielding, Victor Hugo, Sheridan Le Fanu, William Shakespeare, Laurence Sterne"
where jay z was raised?,Brooklyn
where did the assyrian empire start?,Middle East
what currency does the dominican republic?,Dominican peso
what is daniel radcliffe name in the woman in black?,Arthur Kipps
what money do they use in thailand?,Thai baht
where does avril lavigne live now?,"Belleville, Greater Napanee"
who plays stewie griffin's voice family guy?,Seth MacFarlane
what should i see in london england?,"Regent's Park, Tower of London, Buckingham Palace, Palace of Westminster, London Eye, Tower Bridge, Hyde Park, Westminster Abbey, St Paul's Cathedral, Trafalgar Square"
what currency is used in england 2012?,UK £
where did paul rudd go to high school?,Shawnee Mission West High School
what gauge strings john mayer?,Blues-rock
what was abe lincoln shot with?,Firearm
what did regina hall play in?,"Scary Movie, First Sunday, Danika, Paid in Full, Disappearing Acts, Malibu's Most Wanted, Scary Movie 4, King's Ransom, Scary Movie 3, Scary Movie 2"
what book did jacob riis wrote?,How the other half lives
what airport is close to scottsdale arizona?,Scottsdale Airport
who plays noah bennet?,Jack Coleman
who won american idol 2006 season 5?,Jordin Sparks
what to see in vietnam in two weeks?,Hanoi
where do the chicago cubs play?,Wrigley Field
where did reagan die?,Bel-Air
what is the language used in indonesia?,"Javanese Language, Malay Language, Sunda Language, English Language, Bali Language, Indonesian Language, Batak Language, Tobelo Language, Dutch Language, Madura Language"
what was irving langmuir famous for?,"Franklin Medal, Perkin Medal, Nobel Prize in Chemistry, John Scott Legacy Medal and Premium"
what are the traditions in jamaica?,"Bobsleigh, Track and field athletics, Swimming"
what is the official language of china called?,Standard Mandarin
where is the gulf of st lawrence river?,"Canada, Québec, United States of America, Ohio"
what was the name of martin luther king jr parents?,"Martin Luther King, Sr., Alberta Williams King"
what money does guatemala use?,Guatemalan quetzal
who was president when nelson rockefeller was vice president?,Gerald Ford
what did freud say about women?,Anatomy is destiny.
who plays young john winchester in supernatural?,Jeffrey Dean Morgan
who killed vincent chin film?,"Ronald Ebens, Michael Nitz"
what region is manchester england?,North West England
where was the gettysburg war located?,Gettysburg
what do people go to amsterdam for?,"Molen van Sloten Windmill, Begijnhof Chapel, Amsterdam Museum, Oude Kerk, Diamond Museum Amsterdam, Sexmuseum, De Gooyer Windmill, Hash, Marihuana and Hemp Museum, Rembrandt House Museum, Jordaan"
who is the elected governor of california?,Jerry Brown
what year did john glenn walk on the moon?,1976 Democratic National Convention
what currency to take to side turkey?,Turkish lira
who founded the new democratic party?,"James Madison, Thomas Jefferson"
what were the causes of the russian revolution in 1917?,World War I
what does julian clary do?,Actor
where does the potomac river flow into?,Chesapeake Bay
where is the olympic national park located?,Washington
when does the world cup occur?,Every 4 Years
where does danish language come from?,"Denmark, Greenland"
what countries are in the baltic region?,"Latvia, Lithuania, Estonia"
what nation did hitler lead?,Germany
when were women allowed to go to the olympics?,The complete book of the Winter Olympics
what continent does the amazon river flow through?,South America
what is a city in belgium?,City of Brussels
who played elle greenaway?,Lola Glaudini
who was andy williams second wife?,Debbie Meyer
where are you from in egyptian arabic?,Egypt
what did captain scott die of?,Starvation
where does the catholic church originated from?,"Paul the Apostle, Saint Peter"
what continent is belize located in?,Central America
who was donald duck's girlfriend?,Daisy Duck
what party was winston churchill in politics?,Conservative Party
what 4 teams did wayne gretzky play for?,Edmonton Oilers
what did taylor swift do at the vmas 2012?,Grammy Award for Best Country Solo Performance
who did russians descend from?,East Slavs
what to see and do in san diego california?,"San Diego Zoo Safari Park, San Diego Zoo, Cabrillo National Monument, Hotel del Coronado, Mission San Diego de Alcalá, Old Town San Diego State Historic Park, Balboa Park, Birch Aquarium, Old Point Loma Lighthouse, USS Midway"
where's wayne state?,"Michigan, United States of America, Detroit"
what dialect do most chinese speak?,Chinese
who is the president of cuba in 2009?,Fidel Castro
who does avril lavigne play in over the hedge?,Heather
where is the country of armenia?,"Turkey, Georgia, Azerbaijan"
who tom cruise been married to?,"Katie Holmes, Nicole Kidman, Mimi Rogers"
which country is gaza city located?,Israel
who is president of pakistan 2012?,Asif Ali Zardari
what instrument did louis armstrong like to play?,"trumpet, Cornet"
what is the currency in germany in 2010?,Euro
what types of government does china have?,Premier of the People's Republic of China
where is the boeing company?,"Seattle, Chicago"
what are the two houses in congress?,"United States House of Representatives, United States Senate"
what team does ladainian tomlinson play 4?,"San Diego Chargers, New York Jets"
what is the major language spoken in canada?,"French Language, English Language"
what jamaican language called?,"Jamaican Creole English Language, Jamaican English"
what planet was luke skywalker raised on?,Tatooine
who did georgia o'keeffe inspired?,Arthur Dove
who does brandon jacobs play for?,San Francisco 49ers
who was queen elizabeth the first's mother?,Anne Boleyn
who is the leader of the dominican republic 2011?,Leonel Fernández
where did the anglican church start?,Archbishop of Canterbury
who does obama look up to?,"Saul Alinsky, Nipsey Russell"
who played heath barkley?,Lee Majors
what year did baltimore ravens win the superbowl?,2012
what is the name of the money used in spain?,Euro
what did edward jenner do for a living?,edward jenner catalogued specimens from captain james cook
what type of political system does north korea have?,"Single-party state, Socialist state, People's Republic, Juche, Unitary state"
when does ramadan end 2012 indonesia?,Yayasan Kerti Praja
who will play clary in city of bones?,Lonnie Clary
what year did edgar allan poe go to college?,2/14/1826
where is amsterdam ohio?,"Jefferson County, Ohio, Springfield Township"
who are the two current senators of illinois?,Dick Durbin
when did the orioles win the pennant?,"1983 World Series, 1966 World Series, 1970 World Series"
what 3 countries does mexico border?,United States of America
who played giles on buffy the vampire slayer?,Anthony Stewart Head
what teams are in the american league west?,"Texas Rangers, Houston Astros, Seattle Mariners, Los Angeles Angels of Anaheim, Oakland Athletics"
what books did robert burns wrote?,"To a Louse, A Red, Red Rose, The letters of Robert Burns, Address to the Deil, Tam o' Shanter, Epitaph for James Smith, To a Mouse, Holy Willie's Prayer, The wit of Robert Burns, The Glenriddell manuscripts of Robert Burns"
who owns chrysler corporation 2012?,Walter Chrysler
what are the name of mitt romney sons?,"Tagg Romney, Josh Romney, Craig Romney, Matt Romney, Ben Romney"
what was the cause of death of larry hagman?,"Head and neck cancer, Cancer, Leukemia"
what is the rainforest in south america called?,Amazon Basin
how many major dialects are there in china?,"Nepali Language, Standard Tibetan, Chinese language, Zhuang languages, Korean Language, English Language, Esperanto Language, Mongolian language, Portuguese Language, Cantonese"
in which country is mount everest found?,"Nepal, China"
what form of government does germany use?,Constitutional republic
what language do haitian speak?,"French Language, Haitian Creole French Language"
who is nick grimshaw?,"Presenter, Disc jockey"
what did florence sabin do?,Physician
who played betty rizzo in grease?,Stockard Channing
when did sherlock holmes live?,5049 Sherlock
where did audie murphy grow up?,Texas
what school does bart simpson go to?,"Springfield Elementary School, Springfield High School"
where is mark sanchez now?,New York Jets
what year did kobe bryant go to high school?,1996
where is okemos michigan?,"Ingham County, Michigan, Meridian Charter Township, United States of America"
where did caroline kennedy go to school?,"Radcliffe College, Concord Academy, Columbia Law School, Harvard University"
what type of government is the us government?,"Presidential system, Federal republic, Representative democracy, Two-party system, Constitutional republic, Republic"
who is the ravens coach?,Jim Harbaugh
what college did ron jaworski go to?,Youngstown State University
what team does allen iverson play for now?,"Detroit Pistons, Philadelphia 76ers, Denver Nuggets, Memphis Grizzlies"
what years did the atlanta braves win the world series?,1995 World Series
when does school start in hillsborough county?,Valrico
where did jfk and his wife live?,"Boston, Massachusetts, Washington, D.C."
what are the basic beliefs of islam religion?,Monotheism
where does sam shepard live?,"Fort Sheridan, New York, England, Stillwater"
in what state was the air force academy established?,Colorado
where did the battle of the alamo start?,San Antonio
what do barack obama do as a president?,Dreams from My Father
what currency should i bring to italy?,Euro
what years did the orioles play in the world series?,"1983 World Series, 1966 World Series, 1970 World Series"
what does the roman empire consist of?,Cilicia
what did fred goodwin do?,"Businessperson, Chartered Accountant"
what is the economy of china?,Socialist state
who is marilyn monroe and why is she famous?,"Singer, Nude Glamour Model, Film Producer, Actor, Showgirl, Model, Pin-up girl"
where is port charlotte florida located?,"United States of America, Florida, Charlotte County"
who is reba mcentire's son?,Shelby Steven McEntire Blackstock
who helped form the american federation of labor?,Samuel Gompers
who did julie andrews play in shrek?,Queen Lillian
what songs did whitney houston?,"Count on Me, Ain't No Way (feat. Mary J. Blige), Why Does It Hurt So Bad, I Will Always Love You, I'm Every Woman, Who Would Imagine a King, You'll Never Stand Alone, My Love Is Your Love, Fine, It's Not Right, but It's Okay"
what does canada export and import the most?,Iron Ore Mining
what episode does eric northman come in?,"True Blood Season 4, True Blood Season 5, True Blood Season 1, True Blood Season 2, True Blood Season 3"
what was elijah mccoy famous for?,"Engineer, Inventor"
who did john paul jones fight for?,"Continental Navy, Imperial Russian Navy"
where was brad paisley born and raised?,Glen Dale
what is charlotte north carolina known for?,"Bojangles' Coliseum, U.S. National Whitewater Center, Land of Oz, Discovery Place, NASCAR Hall of Fame, Carolinas Aviation Museum, Billy Graham Library, Bechtler Museum of Modern Art, Freedom Park, North Carolina Performing Arts Center at Charlotte Foundation"
where is glastonbury connecticut?,Connecticut
what is george washington's hometown?,Westmoreland County
what characters does seth macfarlane play in family guy?,"Peter Griffin, Mickey McFinnegan, Stewie Griffin, Jake Tucker, Glenn Quagmire, Carter Pewterschmidt, Stan Smith, Tom Tucker, Kevin Swanson, Brian Griffin"
what airport fly into miami?,Miami International Airport
what year did steve nash play for the mavericks?,1998–99 NBA season
what book did charles darwin write on evolution?,On evolution
what are all songs by taylor swift?,"Cold as You, Love Story Oooh Baby Just Say Yes, Beautiful Eyes, A Place in This World, Love Story (U.S. Pop mix), I Heart?, White Horse, Picture to Burn (radio edit), Christmases When You Were Mine, Love Story (Stripped)"
what instruments does katy perry play?,Vocals
who was francis drake married to?,"Mary Newman, Elizabeth Sydenham"
where does don king live?,Cleveland
when was tom brady first superbowl win?,Super Bowl XXXVI
who did deborah sampson married?,Benjamin Gannet
what form of government does mexico?,"Constitutional republic, Presidential system, Federal republic"
what movies does nicole kidman star in?,"Billy Bathgate, Bewitched, Birthday Girl, Cold Mountain, Days of Thunder, Dead Calm, Birth, BMX Bandits, Batman Forever, Dogville"
who was michael jackson first girlfriend?,Lisa Marie Presley
where to stay in san francisco ca?,"Palace Hotel, San Francisco"
what team does reggie bush play for 2011?,Miami Dolphins
what money system does greece use?,Greek drachma
who played obi wan kenobi in phantom menace?,Ewan McGregor
what is the newspaper in phoenix?,"The Catholic Sun, The Arizona Republic, Phoenix New Times, Phoenix Gazette"
who invented facebook wikipedia?,Mark Zuckerberg
what country surrounds spain?,"Perejil Island, Portugal, France, Andorra, Morocco, Gibraltar"
when and where was william shakespeare buried?,"Church of the Holy Trinity, Stratford-upon-Avon"
what type of tennis racket does john mcenroe use?,One-handed backhand
where is sony headquarters located?,Tokyo
who wore the darth vader suit in revenge of the sith?,Hayden Christensen
what movies has scarlett johansson in?,"Girl with a Pearl Earring, Fall, A Good Woman, A Love Song for Bobby Long, Don Jon's Addiction, Eight Legged Freaks, Ghost World, Captain America: The Winter Soldier, An American Rhapsody"
where is alex rodriguez from?,Washington Heights
who invented morse code?,Samuel Morse
what happened to adolf hitler at the end of the war?,Suicide
what is the political system in england?,Constitutional monarchy
who was vice president under ronald reagan?,George H. W. Bush
when did the chicago bulls win their first championship?,1991 NBA Finals
which four states touch mexico?,California
what did sammy davis jr die of?,"Complication, Throat cancer"
what country did francis drake explored for?,Kingdom of England
what two countries share a border with the great lakes?,"Canada, United States of America"
what year did dwayne wade came to the nba?,2003 NBA Draft
where is the dan patrick studio?,United States of America
what do italy people eat for breakfast?,"Corriere della Sera, l'Unità, Il Foglio, la Repubblica, Il Messaggero, La Domenica del Corriere, La Stampa, Avanti!, La Gazzetta dello Sport, Liberazione"
what religion does tom cruise follow?,"Catholicism, Scientology"
what is the president of france's name?,Nicolas Sarkozy
what language do lakota indians speak?,"Lakota Language, English Language"
where is the great pyramid of giza situated?,Giza Plateau
where is john deere made?,Moline
what money is used in the ukraine?,Ukrainian hryvnia
where did ayn rand live?,Saint Petersburg
what did charles lindbergh became famous for in the 1920s?,Pilot
what influenced roy lichtenstein artwork?,Jasper Johns
what state did romney governor?,Massachusetts
what movies does ryan gosling star in?,"The United States of Leland, Half Nelson, The Slaughter Rule, Stay, Lars and the Real Girl, The Believer, Fracture, Murder by Numbers, The Notebook, All Good Things"
where is kentucky located?,Contiguous United States
where john tyler was born?,Charles City County
where the english came from?,"Canada, Australia, Kingdom of Great Britain, United States of America, United Kingdom, Ireland, New Zealand"
when is next t20 world cup cricket?,Every 4 Years
what is the time zone in france?,"Central European Time, UTC+01:00"
what kind of economy was the soviet union?,Communist state
what county is lancaster ca located in?,Los Angeles County
where is compaq laptops made?,Houston
what is the name of the bengals quarterback?,Andy Dalton
what job does janelle brown have?,"Singer, Actor"
what do michelle obama do for a living?,"Writer, Lawyer"
who does paul wesley play in 24?,Stephen
what continent is australia in?,Australia
what is roshon fegan's heritage?,African American
what club does ronaldinho play for 2012?,Clube Atlético Mineiro
what is the name of the sacred text of islam?,"Quran, Sahih al-Bukhari, Sunnah"
where did richard nixon go to high school?,Fullerton Union High School
who stars in the movie fred claus?,"Vince Vaughn, Kathy Bates, John Michael Higgins, Kevin Spacey, Ludacris, Elizabeth Banks, Rachel Weisz, Miranda Richardson, Jeffrey Dean Morgan, Paul Giamatti"
where did madoff live?,"Palm Beach, France, Roslyn, Montauk, Manhattan, Queens"
what killed sammy davis jr?,"Complication, Throat cancer"
where to hang out in chicago?,Wrigley Field
what are the best things to do in san diego?,"Hotel del Coronado, Cabrillo National Monument, San Diego Zoo Safari Park, San Diego Zoo, Mission San Diego de Alcalá, Old Town San Diego State Historic Park, Balboa Park, Birch Aquarium, Old Point Loma Lighthouse, USS Midway"
who are the senators of kansas 2013?,"Jerry Moran, Sam Brownback, Pat Roberts"
what influenced jackson pollock's work?,"Mark Tobey, Thomas Hart Benton, Joan Miró, Max Ernst, John D. Graham, Pablo Picasso"
what state was john adams elected from?,Massachusetts
who played young sam winchester?,Colin Ford
what songs did duane allman sing?,"Happily Married Man, Goin' Down Slow, Mean Old World (feat. Duane Allman), Have You Ever Loved a Woman (feat. Duane Allman), Mean Old World, Black Hearted Woman, No Money Down, Trouble No More"
who played darth vader in the original star wars movies?,David Prowse
when do we change the clocks in 2011 in australia?,au
who did scarlett johansson married?,Ryan Reynolds
what team did doug williams play for?,"Washington Redskins, Tampa Bay Buccaneers, Arizona Outlaws, Grambling State Tigers football"
what are the different sports in the philippines?,"Philippines men's national volleyball team, Philippines national football team"
who won the presidential race in venezuela?,Nicolás Maduro
what degree did martin luther king get?,"Bachelor of Divinity, Bachelor of Arts, PhD"
what type of music did vivaldi write?,Classical music
what books has elie wiesel written?,"The judges, Memoirs: All Rivers Run to the Sea, Contre la mélancolie, The trial of God, The Gates of the Forest, The Forgotten, Night, Twilight, Ethics and memory =, The Oath"
when did the boston celtics win their first championship?,1965 NBA Finals
what is the national anthem of russia?,National Anthem of Russia
what college did lee corso attend?,Florida State University
what films did liam neeson star in?,"Excalibur, Kingdom of Heaven, Batman Begins, Gangs of New York, Nailed, K-19: The Widowmaker, Pilgrim's Progress, Husbands and Wives, Darkman"
what are all the countries in nato?,"Netherlands, Poland, United States of America, United Kingdom, Germany, Bulgaria"
what city are the swiss alps in?,Monte Rosa Massif
what political party was adolf hitler from?,"German Workers' Party, Nazi Party"
who did hermione granger marry?,Ronald Weasley
what areas did henry hudson discover?,Hudson Bay
what does taiwan people speak?,"Chinese, Hakka Language, Taiwanese Mandarin, Taiwanese, Mandarin Chinese"
what made angela davis famous?,Political activist
what state is george washington university located in?,"Washington, D.C."
what is al in arabic names?,Arabic nomenclature
where was governor cuomo born?,Queens
who are the judges of the supreme court?,"John Roberts, Clarence Thomas, David Souter, John Paul Stevens, Edward Douglass White"
who is the president of brazil now?,Dilma Rousseff
what money to take to sri lanka?,Sri Lankan rupee
what year did the mets win their first world series?,1969 World Series
who was leonardo da vinci teacher?,lorenzo de' medici patron of leonardo da vinci
where did newt gingrich attend college?,"Tulane University, Emory University"
where did joe namath attend college?,University of Alabama
what city is purdue university located?,"Indiana, West Lafayette, United States of America"
what language does people in thailand speak?,Thai Language
what does beth tweddle compete in?,Artistic gymnastics
what airport is closest to downtown toronto?,Toronto Pearson International Airport
what did emily bronte died of?,Tuberculosis
what to do around krabi thailand?,"Tup Island, Ao Phra Nang, Ko Lanta Yai, Nosey Parker's Elephant Camp, Ao Tha Len Bay, Phra Nang Beach, Hat Noppharat Beach, Tiger Cave Temple, Khao Phanom Bencha National Park, Railay Beach"
who is playing bilbo in the hobbit movie?,"Norman Bird, Martin Freeman, Ian Holm"
what else is there in orlando besides disney?,Baldwin Park
when did kennedy get elected?,John F. Kennedy 1961 presidential inauguration
what kind of currency do they use in thailand?,Thai baht
what time zone is birmingham england?,Greenwich Mean Time
what does andy warhol do?,"Film Director, Illustrator, Artist, Film Producer, Actor, Printmaker, Cinematographer, Painter, Screenwriter, Sculptor"
where is colombia the country?,"South America, Americas"
who does jodelle ferland play in eclipse?,Bree Tanner
what countries did mother teresa work in?,Kolkata
what timezone is nevada in right now?,"Mountain Time Zone, UTC−07:00, Pacific Time Zone, UTC-8"
what team did deion sanders play for in baseball?,"Baltimore Orioles, San Francisco 49ers, Cincinnati Reds, New York Yankees, Atlanta Braves, San Francisco Giants, Atlanta Falcons, Florida State Seminoles baseball"
who invented the ford motor company?,Henry Ford
what is ayrton senna?,Racecar driver
where was stephen g. breyer born?,San Francisco
what films have taylor lautner starred in?,"New Moon, He's a Bully, Charlie Brown, Eclipse, Cheaper by the Dozen 2, Incarceron, The Adventures of Sharkboy and Lavagirl, Dear Eleanor, Abduction, Shadow Fury, Field of Dreams 2: Lockout"
who played elaine on doc martin?,Lucy Punch
what religion is sammy davis jr?,Judaism
what airport does southwest fly to in denver?,"Front Range Airport, Centennial Airport, Denver International Airport, Rocky Mountain Metropolitan Airport"
who started google?,"Larry Page, Sergey Brin"
where kurdish people from?,Asia
where did harrison ford get his start?,Force 10 from Navarone
what year did arizona diamondbacks win the world series?,2001 World Series
where was jesus born and raised?,Nazareth
what money is used in ukraine?,Ukrainian hryvnia
where is greyton western cape?,Western Cape
what is the buddhist holy book?,"Amitabha Sutra, Tibetan Buddhist canon, Mahāvastu, Āgama, Srimala Sutra, Longchen Nyingthig, Gangōji Garan Engi, Mahayana sutras, Vimalakirti Sutra, Pāli Canon"
what is colorado's state flower?,Aquilegia saximontana
who have the lakers signed?,Dwight Howard
who was phil harris married to?,"Marcia Ralston, Alice Faye"
which jane austen books are movies?,Pride and Prejudice
where is lanzarote in a world map?,Canary Islands
what year did lakers win their first championship?,1948 NBL Finals
what does mariah carey call her fans?,radioIO RNB Mix
what happened to harvey smith?,Designer
what sports are played in canada?,"Canada national baseball team, Canada national rugby union team, Canada women's national volleyball team, Canada men's national soccer team, Canadian national bandy team, Canada national badminton team, Canada men's national volleyball team, Canadian women's cricket team, A1 Team Canada, Northwind"
who is the president of israel 2012?,Shimon Peres
who does northern ireland belong to?,United Kingdom
who does allen iverson play for now 2010?,"Point guard, Shooting guard"
where did kirk herbstreit?,"College GameDay, College Football Final, ESPN College Football on ABC, Saturday Night Football, Battle of the Gridiron Stars, College Football Live"
where did american troops fight in ww1?,Why Race Mattered in Barack Obama's Re-election
what god does taoism believe in?,Tao Te Ching
what gunfight is wyatt earp most famous for?,Gunfight at the O.K. Corral
what does the maine state flag look like?,Flag of Maine
what do mali people speak?,"French Language, Bambara language, Fula language"
who is john garcia?,"Singer, Musician"
what do israeli people speak?,"Yiddish Language, Hebrew Language, Russian Language, Arabic Language, Aramaic language"
what year did george washington become the president?,George Washington 1789 presidential inauguration
what did lbj die of?,Myocardial infarction
what is the main language spoken in italy?,Italian Language
what does george soros believe?,Atheism
on which river is paris?,Seine
who was sam houston answers?,"Soldier, Politician, Lawyer, Military officer"
who is sherri shepherd's new husband?,Lamar Sally
what is the name of dawn french's first novel?,Absolutely Fabulous
who is the governor of california 2010?,Arnold Schwarzenegger
which paris airport is closest to the city center?,Paris Orly Airport
where are dell products manufactured?,Texas
where does manny pacquiao live?,"South Cotabato, Kiamba"
when were the duggar kids born?,United States of America
where did pharaoh hatshepsut live?,Eighteenth Dynasty of Egypt
what record label is rihanna signed to 2012?,Def Jam Recordings
who does sam bradford play for?,St. Louis Rams
where did the seminole native americans live?,Indigenous peoples of the Southeastern Woodlands
what county is plymouth ia in?,Cerro Gordo County
what school did kurt vonnegut go to?,"Cornell University, Butler University, Shortridge High School, University of Chicago"
what kind of biome is the everglades?,Wetland
where did henry hudson come from?,"United Kingdom, England"
which continent is costa rica located?,North America
where is tomb of allama iqbal?,Lahore
who does the united states export the most to?,Canada
where is sony ericsson based?,London
what do you speak in singapore?,"Malay Language, Tamil Language, Standard Mandarin, English Language"
where is reggie bush from?,Spring Valley
what has sara paxton been in?,"Durango Kids, Enter Nowhere, Liar Liar, Geppetto, Liars All, Mother Goose Parade, Hollywood Takes a Stand Against Planking, Aquamarine, Haunted Lighthouse, Hounded"
what primary school did sir isaac newton go to?,"The King's School, Grantham"
which roman god goddess are you?,Vitellius
what countries does canada export wheat to?,Japan
what kind of economy does china has?,Socialist state
what is mexico city time zone?,Central Time Zone
who plays jacob black in the twilight movies?,Taylor Lautner
who is the head coach of the indianapolis colts?,Chuck Pagano
who is rob kardashian dating now 2012?,Rita Ora
what is the syracuse university mascot?,Otto the Orange
where is augusta golf masters?,"Richmond County, Georgia, United States of America"
what government did japan have?,"Parliamentary system, Unitary state, Constitutional monarchy"
where does the shannon river end?,Shannon Estuary
what countries does china border?,"Pakistan, Kyrgyzstan, Myanmar, Bhutan, Afghanistan, Tajikistan, India, Mongolia, Laos, Kazakhstan"
what university did donald trump graduate from?,"The Kew-Forest School, University of Pennsylvania, Fordham University, Wharton School of the University of Pennsylvania, New York Military Academy"
what drug did mitch hedberg overdose on?,Heroin overdose
what were erik erikson's theories?,Developmental psychology
what is british columbia?,Canadian province
what language do you speak in austria?,"Austrian German, Bosnian language, Hungarian language, Croatian language, Serbian language, Bavarian Language, Slovenian language, German Language, Turkish Language"
what does the philippines flag represent?,Flag of the Philippines
who was rosemary clooney married to?,"José Ferrer, Dante DiPaolo"
who's the oakland raiders head coach?,Dennis Allen
where is portuguese language spoken?,"Brazil, Canada, Angola, Portugal, Macau, Cape Verde, Andorra, Timor-Leste, Guinea-Bissau, Mozambique"
who is married to garth brooks?,Trisha Yearwood
what political party was hitler the leader of?,Nazi Party
who plays lois in family guy?,Alex Borstein
what state did dwight d. eisenhower live in?,"Pennsylvania, Texas"
what are 2 inventions benjamin franklin is credited with creating?,"Lightning rod, Franklin stove, Bifocals, Glass harmonica"
what is vanderbilt university mascot?,Mr. Commodore
what famous book did benjamin franklin wrote?,"Poor Richard's Almanac of 1739, Poor Richard's Almanac of 1758"
what band does adam levine sing for?,Maroon 5
where did brian williams go to college?,"George Washington University, Brookdale Community College, The Catholic University of America, Mater Dei High School"
what country did truman lead?,United States of America
what is language in argentina?,"Yiddish Language, Italian Language, Spanish Language"
which island in greece?,Ionian Islands
who has won the most fa cup?,Liverpool F.C.
what time is in san diego california?,Pacific Time Zone
what landforms are found in italy?,Italian Peninsula
when did hurricane irene hit ct?,2011 Atlantic hurricane season
who did michael jackson play in the wiz?,Scarecrow
what drugs does charlie sheen do?,"Cannabis, LSD, Cocaine, Ethanol"
what is the capital city of assyrian empire?,Assur
which countries speak english?,"Canada, Australia, South Africa, Zambia, United Kingdom, Zimbabwe, Uganda, New Zealand, Turks and Caicos Islands, Tanzania"
where did jerry spinelli go to college?,"Johns Hopkins University, Temple University, Gettysburg College"
what is the zip code for cordova tn?,99574
what is julia gillard party?,"Queensland Labor Party, Australian Labor Party"
what is the origin of the turkish language?,Altaic languages
what is isaac newton famous for?,Physicist
who won the state of texas in 2008?,Esperanza Andrade
what is considered eastern canada?,Newfoundland
where did barack obama went to school?,"Occidental College, Harvard Law School, Noelani Elementary School, Punahou School, State Elementary School Menteng 01, St. Francis of Assisi Catholic School, Columbia University"
who was the prime minister of canada in 1998?,Brian Mulroney
what did ron howard direct?,"Return to Mayberry, The Smith Family, Happy Days, The Andy Griffith Show, Arrested Development, The Fonz and the Happy Days Gang"
what kind of alcohol is bacardi silver?,Bacardi rum
who are shakespeare's siblings?,"Joan Shakespeare, Gilbert Shakespeare, Margaret Shakespeare, Richard Shakespeare, Anne Shakespeare, Edmund Shakespeare"
where do ba fly to from london city airport?,London
where does kaka live?,Brazil
what is the predominant language in south africa?,South African English
where does the oklahoma city thunder practice?,Chesapeake Energy Arena
what is the language called in turkey?,"Arabic Language, Kurdish language, Zazaki language, Ladino Language, Turkish Language"
who was theodore roosevelt's vice president?,Charles W. Fairbanks
what college did charles richard drew go to?,Amherst College
what nationality is jermaine paul?,United States of America
where did the oakland raiders move from?,Los Angeles
who played nba last night?,"Phoenix Suns, Golden State Warriors, Los Angeles Lakers, Cleveland Cavaliers, Houston Rockets, Charlotte Bobcats, Detroit Pistons, Indiana Pacers, Utah Jazz, Orlando Magic"
who were mary shelley's parents?,"Mary Wollstonecraft, William Godwin"
what do do in new york?,Central Park
what are some of the religions in australia?,"Catholicism, Buddhism, Islam, Anglicanism"
what is the capital city of south carolina?,Columbia
